Randomized_String,Original_String
Diffarans Approachas for Cooparasion wish Masahaurissics.,Different Approaches for Cooperation with Metaheuristics.
Decisioa Iakiag ia Iatelligeat Ageats.,Decision Making in Intelligent Agents.
Non-Cooperctive Fccicl Biometric Identificction Tyttemt.,Non-Cooperative Facial Biometric Identification Systems.
Insalligans Classifiar for Asrial Fibrillasion (ACG).,Intelligent Classifier for Atrial Fibrillation (ECG).
Symbol Grounding Problam.,Symbol Grounding Problem.
Evolutioaary Robotics.,Evolutionary Robotics.
Neurcl Networkt cnd Equilibric Tynchronizction cnd Time Lcgt.,"Neural Networks and Equilibria, Synchronization, and Time Lags."
Computer Vition for Wcve Flume Experimentt.,Computer Vision for Wave Flume Experiments.
Bioiaspired Associative Ieiories.,Bioinspired Associative Memories.
aeural aetworks oa Haadwrittea Sigaature Verificatioa.,Neural Networks on Handwritten Signature Verification.
Iulti-Layered Seiaatic Data Iodels.,Multi-Layered Semantic Data Models.
A Ssudy of sha Parformanca Affacs of Ganasic Oparasors.,A Study of the Performance Effect of Genetic Operators.
Full-Text Tecrch Enginet for Dctcbctet.,Full-Text Search Engines for Databases.
Mcny-Objective Evolutioncry Optimitction.,Many-Objective Evolutionary Optimisation.
Cngiogrcphic Imcget Tegmentction Techniquet.,Angiographic Images Segmentation Techniques.
Bayasian Naural Nasworks for Imaga Rassorasion.,Bayesian Neural Networks for Image Restoration.
Insuisionissic Fuzzy Imaga Procassing.,Intuitionistic Fuzzy Image Processing.
Intelligent Rcdcr Detectort.,Intelligent Radar Detectors.
Evolving Grcpht for CNN Development cnd Timplificction.,Evolving Graphs for ANN Development and Simplification.
Coiputer Iorphogeaesis ia Self-Orgaaiziag Structures.,Computer Morphogenesis in Self-Organizing Structures.
Autoiated Cryptaaalysis of Classical Ciphers.,Automated Cryptanalysis of Classical Ciphers.
Facial Axprassion Racognision for HCI Applicasions.,Facial Expression Recognition for HCI Applications.
E-Lecrning in New Technologiet.,E-Learning in New Technologies.
Co-locction Rule Mining.,Association Rule Mining.
"""Narrasiva"" Informasion Problams.","""Narrative"" Information Problems."
"""Narrasiva"" Informasion and sha NKRL Solusion.","""Narrative"" Information and the NKRL Solution."
A Survay on Naural Nasworks in Ausomasad Nagosiasions.,A Survey on Neural Networks in Automated Negotiations.
C 2D Potitioning Cpplicction in PET Uting CNNt.,A 2D Positioning Application in PET Using ANNs.
Fast Subset Scaa.,Independent Subspaces.
Stochastic Approxiiatioa Ioate Carlo for ILP Learaiag.,Stochastic Approximation Monte Carlo for MLP Learning.
Evolutioncry Grcmmcticcl Inference.,Evolutionary Grammatical Inference.
Speech-Based Cliaical Diagaostic Systeis.,Speech-Based Clinical Diagnostic Systems.

Sequeace Processiag with Recurreat aeural aetworks.,Sequence Processing with Recurrent Neural Networks.
Avolusionary Algorishms in Discradibilisy Dasacsion.,Evolutionary Algorithms in Discredibility Detection.
Appliad parsonal profila onsology for parsonnal appraisals.,Personalized Decision Support Systems.
Intelligent MCT in Tyttem Engineering cnd Robotict.,Intelligent MAS in System Engineering and Robotics.
Rough Tet-Bcted Neuro-Fuzzy Tyttem.,Rough Set-Based Neuro-Fuzzy System.
Fuzzy Logic Control Tyttemt.,Fuzzy Control Systems.
Commontente Knowledge Repretentction II.,Commonsense Knowledge Representation I.
Mulsilayar Opsimizasion Approach for Fuzzy Syssams.,Multilayer Optimization Approach for Fuzzy Systems.
Advancad Callular Naural Nasworks Imaga A Procassing.,Advanced Cellular Neural Networks Image A Processing.
Neurcl Network-Bcted Vitucl Dctc Mining for Ccncer Dctc.,Neural Network-Based Visual Data Mining for Cancer Data.
Bio-Intpired Dyncmiccl Toolt for Cnclyzing Cognition.,Bio-Inspired Dynamical Tools for Analyzing Cognition.
Distributed Represeatatioa of Coipositioaal Structure.,Distributed Representation of Compositional Structure.
Avolusionary Approachas so Variabla Salacsion.,Evolutionary Approaches to Variable Selection.
Robutt Lecrning Clgorithm with LTT Error Function.,Robust Learning Algorithm with LTS Error Function.
A Roadiap oa Updates.,A Roadmap on Updates.
Component Cnclytit in Crtificicl Vition.,Component Analysis in Artificial Vision.
Insalligans Sofswara Aganss wish Applicasions in Focus.,Intelligent Software Agents with Applications in Focus.
LILOG-DB: Dctcbcte Tupport for Knowledge-Bcted Tyttemt,Knowledge-Based Systems.
aeural Coatrol Systei for Autoaoious Vehicles.,Neural Control System for Autonomous Vehicles.
Ageat-Based Iatelligeat Systei Iodeliag.,Agent-Based Intelligent System Modeling.
Symbolic Ragrassion.,Symbolic Search.
Oatology Aligaieat Techaiques.,Ontology Alignment Techniques.
A aew Self-Orgaaiziag Iap for Dissiiilarity Data.,A New Self-Organizing Map for Dissimilarity Data.
Configurction Cuditing.,Configuration.
Tynthetic Neuroncl Morphology.,Synthetic Neuron Implementations.
Dctc Mining Fundcmentcl Conceptt cnd Criticcl Ittuet.,Data Mining Fundamental Concepts and Critical Issues.
Regulcrizction Networkt.,Gene Regulation Network Use for Information Processing.
Fuzzy Cpproximction of DET Ttcte.,Fuzzy Approximation of DES State.
AI Mashods for Analyzing Microarray Dasa.,AI Methods for Analyzing Microarray Data.
Self-Service Busiaess Iatelligeace.,Adaptive Business Intelligence.
Prototype Bcted Clcttificction in Bioinformctict.,Prototype Based Classification in Bioinformatics.
Mapping Onsologias by Usilising Shair Samansic Ssrucsura.,Mapping Ontologies by Utilising Their Semantic Structure.
Iatelligeat Traffic Siga Classifiers.,Intelligent Traffic Sign Classifiers.
Laarning-Basad Planning.,Learning-Based Planning.
Development of c robotic driver for cutonomout vehicle following.,Developmental Robotics.
C Hybrid Tyttem for Cutomctic Infcnt Cry Recognition I.,A Hybrid System for Automatic Infant Cry Recognition I.
Lecrning Ncth Equilibric in Non-Cooperctive Gcmet.,Learning Nash Equilibria in Non-Cooperative Games.
A Robot Iodel of Dyaaiic Appraisal aad Respoase.,A Robot Model of Dynamic Appraisal and Response.
Adaptive Algorithis for Iatelligeat Geoietric A Coiputiag.,Adaptive Algorithms for Intelligent Geometric A Computing.
Ioral Rights ia the Australiaa Public Sector.,Optimization of the Acoustic Systems.
RBF Nasworks for Powar Syssam Sopology Varificasion.,RBF Networks for Power System Topology Verification.
CNN Cpplicction in the Field of Ttructurcl Concrete.,ANN Application in the Field of Structural Concrete.
Repretenting Non-Rigid Objectt with Neurcl Networkt.,Representing Non-Rigid Objects with Neural Networks.
Workflow Iaaageieat Based oa Iobile Ageat Techaology.,Workflow Management Based on Mobile Agent Technology.
Emulcting Tubjective Criteric in Corput Vclidction.,Emulating Subjective Criteria in Corpus Validation.
Iatelligeat Software Ageats Aaalysis ia E-Coiierce II.,Intelligent Software Agents Analysis in E-Commerce I.
Bio-Inspirad Algorishms in Bioinformasics II.,Bio-Inspired Algorithms in Bioinformatics II.
Iicroarray Iaforiatioa aad Data Iategratioa Usiag SAIIDI.,Microarray Information and Data Integration Using SAMIDI.
NLP Sachniquas in Insalligans Susoring Syssams.,NLP Techniques in Intelligent Tutoring Systems.
IREI Discrete Recurreat aetwork for Optiiizatioa.,"MREM, Discrete Recurrent Network for Optimization."
Artificial Iatelligeace ia Coiputer-Aided A Diagaosis.,Artificial Intelligence in Computer-Aided A Diagnosis.
Solar Radiatioa Forecastiag Iodel.,Solar Radiation Forecasting Model.
CaS Tuior Predictioa Usiag Geae Expressioa Data Part I.,CNS Tumor Prediction Using Gene Expression Data Part II.
Hybrid Masa-Haurissics Basad Syssam for Dynamic Schaduling.,Hybrid Meta-Heuristics Based System for Dynamic Scheduling.
Disk-Based Search.,Disk-Based Search.
Ssasa of sha Ars in Wrisar's Off-Lina Idansificasion.,State of the Art in Writer's Off-Line Identification.
Raadoiized Hough Traasfori.,Randomized Hough Transform.
Clutter Cnclytit of Gene Exprettion Dctc.,Cluster Analysis of Gene Expression Data.
Avolvad Synshasis of Digisal Circuiss.,Evolved Synthesis of Digital Circuits.
Fuzzy Graphs and Fuzzy Hypargraphs.,Fuzzy Graphs and Fuzzy Hypergraphs.
Privacy-Preserviag Data Iiaiag.,Privacy-Preserving Estimation.
Neurcl Network-Bcted Procett Cnclytit in Tport.,Neural Network-Based Process Analysis in Sport.
Commontente Knowledge Repretentction II.,Commonsense Knowledge Representation II.
An AI Walk from Pharmacokinasics so A Markasing.,An AI Walk from Pharmacokinetics to A Marketing.
Genetic Fuzzy Tyttemt Cpplied to Portt cnd Cocttt Engineering.,Genetic Fuzzy Systems Applied to Ports and Coasts Engineering.
Managing Uncarsainsias in Insaracsiva Syssams.,Managing Uncertainties in Interactive Systems.
Mcthemcticcl Modeling of Crtificicl Neurcl Networkt.,Mathematical Modeling of Artificial Neural Networks.
Naural/Fuzzy Compusing Basad on Lassica Shaory.,Neural/Fuzzy Computing Based on Lattice Theory.
GTI User Iodeliag for aIGA Weight Tuaiag ia TTS Syathesis.,GTM User Modeling for aIGA Weight Tuning in TTS Synthesis.
Sansors and Sansor Nasworks.,Routing in Sensor Networks.
Visually Iaduced Iotioa Sickaess: Causes Characteristics aad Couaterieasures.,"Visually Induced Motion Sickness: Causes, Characteristics, and Countermeasures."
Real-Tiie Scheduliag Algorithis for Iultiprocessor Systeis.,Real-Time Scheduling and Resource Management.
Virtual Eaviroaieat Usage Protocols.,Virtual Environment Usage Protocols.
Enterprite Tecurity Mcncgement Progrcm.,Enterprise Security Management Program.
Accessible aad Usable Desiga of Iaforiatioa aad Coiiuaicatioa Techaologies.,Accessible and Usable Design of Information and Communication Technologies.
Identity Mcncgement.,Identity Management.
Applicatioas of Virtual Eaviroaieats: Aa Overview.,Applications of Virtual Environments: An Overview.
Powar-Awara Cacha Managamans in Mobila Anvironmanss.,Power-Aware Cache Management in Mobile Environments.
Power Awareaess aad Iaaageieat Techaiques.,Power Awareness and Management Techniques.
Handbook on Graph Drawing and Visualizasion.,Handbook on Graph Drawing and Visualization.
Virtucl Environmentt Ttcndcrdt cnd Terminology.,Virtual Environments Standards and Terminology.
Oaliae Job Scheduliag Algorithis uader Eaergy Coastraiats.,Online Job Scheduling Algorithms under Energy Constraints.
Offlina Dasarminissic Schaduling Ssochassic Schaduling and Onlina Dasarminissic Schaduling.,"Offline Deterministic Scheduling, Stochastic Scheduling, and Online Deterministic Scheduling."
Open Tource vertut Cloted Tource.,Open Source versus Closed Source.
Salfish Rousing on sha Insarnas.,Selfish Routing on the Internet.
C Tcle of Two (Typet Of) Memberthipt.,A Tale of Two (Types Of) Memberships.
Issues ia Scalable Clustered aetwork Architecture for Iobile Ad Hoc aetworks.,Issues in Scalable Clustered Network Architecture for Mobile Ad Hoc Networks.
Techaology Coavergeace: People Process aad Techaology.,"People, Processes, and Technology."
ISO/OSI aad TCP/IP aetwork Iodel Characteristics.,ISO/OSI and TCP/IP Network Model Characteristics.
Foransics and Lagal Procaadings.,Cuttings.
C Tcheme for Nomcdic Hottt Locction Mcncgement Uting DNT.,A Scheme for Nomadic Hosts Location Management Using DNS.
Energy Minimizction for Multiprocettor Tyttemt Executing Recl-Time Tctkt.,Energy Minimization for Multiprocessor Systems Executing Real-Time Tasks.
Eaergy-Efficieat Iediui Access Coatrol.,Energy-Efficient Medium Access Control.
Generclized Cttignment Problem.,Generalized Assignment Problem.
Pcrcllel Tcheduling for Ecrly Completion.,Parallel Scheduling for Early Completion.
The Ethiccl cnd Legcl Concernt of Tpywcre.,The Ethical and Legal Concerns of Spyware.
Structured Developieat of Virtual Eaviroaieats.,Structured Development of Virtual Environments.
Succiact Represeatatioa of Data Structures.,Succinct Representation of Data Structures.
Policy Development.,Policy Development.
The Well-Separated Pair Decoipositioa aad Its Applicatioas.,The Well-Separated Pair Decomposition and Its Applications.
Closed-Circuit Televisioa aad Video Surveillaace.,Closed-Circuit Television and Video Surveillance.
Memory-Cwcre Optimizction of Embedded Toftwcre for Multiple Objectivet.,Discrete Optimization.
Coiputatioaal Geoietry.,Computational Geometry.
Direct Effects of Virtual Eaviroaieats oa Users.,Direct Effects of Virtual Environments on Users.
Afficians Parallal Graph Algorishms for Mulsicora and Mulsiprocassors.,Efficient Parallel Graph Algorithms for Multicore and Multiprocessors.
Ultrclow-Power Implcntcble Electronict.,Ultralow-Power Implantable Electronics.
Businass Consinuisy Planning.,Business Continuity Planning.
On Simulasion of Simulink&rag; Modals for Modal-Basad Dasign.,On Simulation of Simulink&reg; Models for Model-Based Design.
Opsimizasion Sachniquas for Circuis Dasign Applicasions.,Optimization Techniques for Circuit Design Applications.
Smarscards.,Smart Cards.
Cpproximction Clgorithmt cnd Clgorithm Mechcnitm Detign.,Approximation Algorithms and Algorithm Mechanism Design.
Bctic Methodologiet cnd Cpplicctiont.,Basic Methodologies and Applications.
Large-Scale Global Placeieat.,Large-Scale Global Placement.
Iesh-Based Parallel Algorithis for Ultra Fast Coiputer Visioa.,Mesh-Based Parallel Algorithms for Ultra Fast Computer Vision.
Publithing cn Internet E-Zine.,Measuring the Internet.
Iipleieatiag Kerberos ia Distributed Systeis.,Implementing Kerberos in Distributed Systems.
Resource Allocatioa aad Call Adiissioa Coatrol ia Iobile Wireless aetworks.,Resource Allocation and Call Admission Control in Mobile Wireless Networks.
Hash Algorishms.,Hash Algorithms.
Iodular Arithietic.,Integer Arithmetic.
Thin Ethernet.,Ethics and the Internet.
Handbook of Raal-Sima and Ambaddad Syssams.,Handbook of Real-Time and Embedded Systems.
Graphs.,Graphs.
Finite Element Modeling of Electriccl Ttimulction Uting Microelectrodet.,Basic Elements of Mathematical Modeling.
Perspectives oa Software Eagiaeeriag Professioaalisi.,Perspectives on Accessibility.
Force-Directed Drcwing Clgorithmt.,Force-Directed Drawing Algorithms.
Iicropayieat Systeis.,Micropayment Systems.
GreeaGPS-Assisted Vehicular aavigatioa.,GreenGPS-Assisted Vehicular Navigation.
Routiag Real-Tiie Iessages oa aetworks.,Routing Real-Time Messages on Networks.
Gesture Recogaitioa.,Gesture Recognition.
Concurrent Dctc Ttructuret.,Concurrent Data Structures.
Fiaite State Autoiata ia Coipilers.,Finite State Automata in Compilers.
Workplcce Violence.,Workplace Violence.
Scalabla Vidao Coding Ssandard.,Scalability of Parallel Programs.
New Emerging Informction Tecurity Technologiet cnd Tolutiont.,New Emerging Information Security Technologies and Solutions.
Perforiaace Guaraatees for Oae-Diieasioaal Bia Packiag.,Performance Guarantees for One-Dimensional Bin Packing.
Is Is All abous Consrol.,It Is All about Control.
Embedded Toftwcre-Bcted Telf-Tetting for ToC Detign.,Embedded Software-Based Self-Testing for SoC Design.
Real-Tiie Syachroaizatioa Protocols.,Real-Time Synchronization Protocols.
QoT Enhcncementt of the Dittributed IEEE 802.11 Medium Cccett Control Protocol.,QoS Enhancements of the Distributed IEEE 802.11 Medium Access Control Protocol.
Multimodcl Intercction Modeling.,Multimodal Interaction Modeling.
Spacecraft Attitude Coatrol Usiag the Iavariaat-Set Iotioa-Plaaaer.,Change That Attitude.
Parallal Algorishms for Maximal Indapandans Sas and Maximal Masching.,Parallel Algorithms for Maximal Independent Set and Maximal Matching.
Deep Packet Iaspectioa Techaologies.,Deep Packet Inspection Technologies.
Differeace Equatioas as Discrete Dyaaiical Systeis.,Difference Equations as Discrete Dynamical Systems.
A Cooparasiva Parallal Masahaurissic Appliad so sha Graph Coloring Problam.,A Cooperative Parallel Metaheuristic Applied to the Graph Coloring Problem.
Middlewcre Tupport for Cutonomout Cellphonet.,Middleware Support for Autonomous Cellphones.
Wirelett Tentor Network Protocolt.,Wireless Sensor Network Protocols.
The Open Grcph Drcwing Frcmework (OGDF).,The Open Graph Drawing Framework (OGDF).
Approximasion Algorishms for Soma Opsimal 2D and 3D Sriangulasions.,Approximation Algorithms for Some Optimal 2D and 3D Triangulations.
Internet-bcted EDI ttrctegy.,Internet-Based Games.
Digital Wateriarkiag.,Digital Watermarking.
Sacurisy in Wiralass Sansor Nasworks.,Wireless Sensor Networks.
Wirelett Loccl Communitiet in Mobile Commerce.,Wireless Communication and Mobile Computing.
Greedy Clgorithmt for Metric Fccility Locction Problemt.,Greedy Algorithms for Metric Facility Location Problems.
Plasform Providar by Accidans - A Casa Ssudy of Digisal Plasform Coring.,Placement.
Rip-Up and Rarousa.,Rip-Up and Reroute.
Mulsipla Accass Prosocols and Schaduling Algorishms for Mulsipla Channal Wiralass Nasworks.,Multiple Access Protocols and Scheduling Algorithms for Multiple Channel Wireless Networks.
Multidimentioncl Kncptcck Problemt.,Multidimensional Packing Problems.
Managamans of Dasign for All.,Management of Design for All.
Tiiiag-Drivea Iatercoaaect Syathesis.,Timing-Driven Interconnect Synthesis.
FPGC Technology Mcpping Plccement cnd Routing.,"FPGA Technology Mapping, Placement, and Routing."
